"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","237","795","23.7","79.5"
"scientific reasoning","122","47","100","38.52459016393443","81.9672131147541"
"textbook question answering","158","43","132","27.21518987341772","83.54430379746836"
"numeric commonsense","144","24","75","16.666666666666664","52.083333333333336"
"arithmetic reasoning","353","86","241","24.362606232294617","68.27195467422096"
"visual question answering","179","75","103","41.899441340782126","57.54189944134078"
"geometry reasoning","239","22","216","9.205020920502092","90.3765690376569"
"algebraic reasoning","281","33","256","11.743772241992882","91.10320284697508"
"geometry problem solving","208","16","192","7.6923076923076925","92.3076923076923"
"math word problem","186","20","149","10.75268817204301","80.10752688172043"
"logical reasoning","37","1","22","2.7027027027027026","59.45945945945946"
"figure question answering","269","83","219","30.855018587360593","81.41263940520446"
"statistical reasoning","301","86","264","28.57142857142857","87.70764119601328"
